RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.012578616352201257,0.012578616352201259,2,0,314
2,0.011869436201780414,0.011869436201780416,2,0,333
3,0.012698412698412697,0.012698412698412698,2,0,311
4,0.012012012012012012,0.012012012012012012,2,0,329
5,0.012048192771084336,0.012048192771084338,2,0,328
6,0.011940298507462685,0.011940298507462687,2,0,331
7,0.011428571428571429,0.011428571428571429,2,0,346
8,0.012012012012012012,0.012012012012012012,2,0,329
9,0.013289036544850499,0.013289036544850499,2,0,297
10,0.012539184952978056,0.012539184952978056,2,0,315
