Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,149774,2598544.647491639,637107.5284280936,632449.5284280936,23.668896321070235,637107.5284280936,632449.5284280936
2,152252,2420979.4368421054,519732.69934210525,0.0,26.419736842105262,1184398.3553223389,0.0
3,153653,2550128.4198174705,521730.1316818774,0.0,27.66013175497077,1947284.7250608273,0.0
4,151881,2490040.142480211,330177.8847182385,330177.8847182385,25.67127595881399,962595.5254477877,962595.5254477877
5,152177,2439142.285714286,288802.03686635947,288802.03686635947,26.45980407920564,1467191.618729097,1467191.618729097
6,149787,2431695.2214046824,659508.2274247492,659508.2274247492,24.207357859531772,1232456.0,1232456.0
7,154493,2541191.478599222,370021.0654993515,370021.0654993515,28.184176394293125,840312.9351988218,840312.9351988218
8,155229,2555435.7805035505,206934.23499031633,206934.23499031633,30.22220962648594,516169.2914653784,516169.2914653784
9,151013,2512074.5109489053,1230524.702057067,1230524.702057067,25.531519575315194,2462683.567065073,2462683.567065073
10,161463,2399936.660459342,293660.3842333954,124595.84419615146,40.84967370124929,686628.2714078374,291326.42235123366
