Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,65376,2581778.719754977,1605406.7013782542,1137688.5160796326,25.8728943338438,1605406.7013782542,1137688.5160796326
2,64982,2488032.5053929123,1174201.2526964562,1174201.2526964562,25.482964190493377,2458247.1387096774,2458247.1387096774
3,64970,2374828.573189522,1711522.379044684,1711522.379044684,25.34206471494607,2103746.257575758,2103746.257575758
4,66385,2635468.0784313725,992504.8552036199,992504.8552036199,28.48936116969122,1589446.1811594204,1589446.1811594204
5,67062,2458566.0,456937.3970149254,456937.3970149254,28.375123635553578,984398.8938906753,984398.8938906753
6,67445,2458865.305637982,501504.6409495549,501504.6409495549,29.849859997006227,1090368.1548387096,1090368.1548387096
7,67538,2562720.8961424334,420412.52522255195,420412.52522255195,30.681008902077153,636759.6449438202,636759.6449438202
8,67347,2399234.912332838,925025.4680534918,925025.4680534918,29.224637857147588,1915514.276923077,1915514.276923077
9,67377,2347317.664190193,754844.73551263,754844.73551263,29.641303603876104,846684.1783333333,846684.1783333333
10,67446,2441309.8041543025,618234.5148367953,618234.5148367953,31.331283184671875,907821.4880174292,907821.4880174292
